Designator,Mid X,Mid Y,Layer,Rotation
C1,76.98,-108.25,T,180.00
C1,76.98,-46.25,T,180.00
C1,25.02,-75.75,T,0.00
C1,25.02,-137.75,T,0.00
C1,76.98,-170.25,T,180.00
C1,25.02,-13.75,T,0.00
C2,80.50,-114.75,T,90.00
C2,80.50,-52.75,T,90.00
C2,80.50,-176.75,T,90.00
C2,21.50,-131.25,T,270.00
C2,21.50,-7.25,T,270.00
C2,21.50,-69.25,T,270.00
C3,73.25,-52.77,T,270.00
C3,28.75,-69.22,T,90.00
C3,28.75,-7.22,T,90.00
C3,73.25,-176.78,T,270.00
C3,73.25,-114.78,T,270.00
C3,28.75,-131.22,T,90.00
C4,72.50,-107.00,T,270.00
C4,29.50,-77.00,T,90.00
C4,72.50,-169.00,T,270.00
C4,72.50,-45.00,T,270.00
C4,29.50,-139.00,T,90.00
C4,29.50,-15.00,T,90.00
C5,80.98,-162.75,T,180.00
C5,21.02,-145.25,T,0.00
C5,21.02,-21.25,T,0.00
C5,21.02,-83.25,T,0.00
C5,80.98,-38.75,T,180.00
C5,80.98,-100.75,T,180.00
J1,57.00,-129.00,T,90.00
J1,57.00,-67.00,T,90.00
J1,45.00,-117.00,T,270.00
J1,57.00,-5.00,T,90.00
J1,45.00,-55.00,T,270.00
J1,45.00,-179.00,T,270.00
J2,97.00,-67.00,T,90.00
J2,5.00,-55.00,T,270.00
J2,97.00,-5.00,T,90.00
J2,5.00,-117.00,T,270.00
J2,97.00,-129.00,T,90.00
J2,5.00,-179.00,T,270.00
J3,27.54,-126.03,T,270.00
J3,74.46,-119.97,T,90.00
J3,27.54,-2.02,T,270.00
J3,74.46,-181.97,T,90.00
J3,74.46,-57.98,T,90.00
J3,27.54,-64.03,T,270.00
J5,4.54,-77.00,T,90.00
J5,97.46,-45.00,T,270.00
J5,97.46,-107.00,T,270.00
J5,4.54,-15.00,T,90.00
J5,4.54,-139.00,T,90.00
J5,97.46,-169.00,T,270.00
J6,83.70,-57.50,T,90.00
J6,83.70,-181.50,T,90.00
J6,83.70,-119.50,T,90.00
J6,18.30,-64.50,T,270.00
J6,18.30,-126.50,T,270.00
J6,18.30,-2.50,T,270.00
J7,69.00,-181.00,T,180.00
J7,69.00,-57.00,T,180.00
J7,33.00,-65.00,T,0.00
J7,33.00,-3.00,T,0.00
J7,33.00,-127.00,T,0.00
J7,69.00,-119.00,T,180.00
R1,55.50,-25.25,T,90.00
R1,55.50,-149.25,T,90.00
R1,55.50,-87.25,T,90.00
R1,46.50,-34.75,T,270.00
R1,46.50,-96.75,T,270.00
R1,46.50,-158.75,T,270.00
R2,36.00,-78.75,T,180.00
R2,36.00,-140.75,T,180.00
R2,66.00,-105.25,T,0.00
R2,36.00,-16.75,T,180.00
R2,66.00,-167.25,T,0.00
R2,66.00,-43.25,T,0.00
R3,28.75,-142.75,T,270.00
R3,28.75,-18.75,T,270.00
R3,73.25,-103.25,T,90.00
R3,73.25,-165.25,T,90.00
R3,28.75,-80.75,T,270.00
R3,73.25,-41.25,T,90.00
R4,70.75,-42.25,T,180.00
R4,31.25,-141.75,T,0.00
R4,70.75,-104.25,T,180.00
R4,70.75,-166.25,T,180.00
R4,31.25,-17.75,T,0.00
R4,31.25,-79.75,T,0.00
R5,2.50,-94.79,T,270.00
R5,2.50,-156.79,T,270.00
R5,99.50,-151.21,T,90.00
R5,99.50,-89.21,T,90.00
R5,99.50,-27.21,T,90.00
R5,2.50,-32.79,T,270.00
R6,6.00,-94.79,T,90.00
R6,96.00,-151.21,T,270.00
R6,96.00,-89.21,T,270.00
R6,6.00,-32.79,T,90.00
R6,6.00,-156.79,T,90.00
R6,96.00,-27.21,T,270.00
RV1,5.00,-42.04,T,0.00
RV1,97.00,-79.96,T,180.00
RV1,97.00,-141.96,T,180.00
RV1,97.00,-17.96,T,180.00
RV1,5.00,-104.04,T,0.00
RV1,5.00,-166.04,T,0.00
U1,23.75,-141.00,T,270.00
U1,23.75,-79.00,T,270.00
U1,23.75,-17.00,T,270.00
U1,78.25,-105.00,T,90.00
U1,78.25,-167.00,T,90.00
U1,78.25,-43.00,T,90.00
U2,57.00,-169.25,T,0.00
U2,57.00,-107.25,T,0.00
U2,45.00,-138.75,T,180.00
U2,45.00,-14.75,T,180.00
U2,57.00,-45.25,T,0.00
U2,45.00,-76.75,T,180.00
U3,25.00,-69.75,T,270.00
U3,25.00,-7.75,T,270.00
U3,77.00,-52.25,T,90.00
U3,77.00,-176.25,T,90.00
U3,77.00,-114.25,T,90.00
U3,25.00,-131.75,T,270.00
